hist_bin,dataset,args,remove_categorical,epsilon,final_trees,train_auc,test_auc,train_pr,test_pr,train_acc,test_acc,f1_score,training_time
2,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7743172070709153,0.7705470076054874,0.29308462060991514,0.29118971723378356,0.929740580605312,0.9304065851833375,0.2520107238605898,1.5420069694519043
4,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7797561127291271,0.777726755386936,0.3022063503695194,0.29844896881337435,0.9304057585404095,0.930240292674815,0.2286239656757585,1.0116889476776123
8,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7935356857081945,0.7916946922834209,0.3000184020958063,0.30470771146109893,0.9306670784434836,0.9311826168897758,0.25098039215686274,0.9105949401855469
16,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7809290761292345,0.7737437694263057,0.28794863253329805,0.2865123399661979,0.9313441345559937,0.9310717552174275,0.17839444995044598,1.156554937362671
32,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7343420882945763,0.73248418457033,0.22097112342258335,0.21344739956156078,0.9304651494274718,0.9303788697652504,0.02786377708978328,1.051846981048584
64,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.763359911128044,0.7548042522694958,0.25406044151694596,0.24371038407363688,0.9295505297667126,0.9292979684598542,0.031143182681352074,1.1141347885131836
128,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7854646979023399,0.7831493394714493,0.30809381436157224,0.31181772620734305,0.9311897182496318,0.9316260635791691,0.08731039585645578,1.076819896697998
2,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7918379221488823,0.7870473604983665,0.29759877130452417,0.3005157027889903,0.9294198698151755,0.9294919763864637,0.17079530638852672,1.1028506755828857
4,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7941081000520863,0.789782116952856,0.3027291142647023,0.30768436028582213,0.9305601748467716,0.9313489093982983,0.2129011757229107,1.0524919033050537
8,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7958046656467602,0.7938231223854556,0.3086886787383298,0.3072548880309425,0.931403525443056,0.931958648596214,0.22579627877641126,1.0985980033874512
16,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7903144689907181,0.7847563190493794,0.3133917080832137,0.3071820736655644,0.9324488050553523,0.9318477869238657,0.17731682837069254,1.0100133419036865
32,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7999241703658461,0.7906187450262872,0.3187107286077506,0.31826108935279945,0.9322706323941654,0.931958648596214,0.17534430634867318,1.1837201118469238
64,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7675552836677706,0.7694890774527338,0.2900038284514366,0.2911566485283094,0.9311897182496318,0.9315152019068208,0.08175399479747304,1.2888081073760986
128,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7543300180916663,0.7489258823729845,0.23164813094676057,0.22333168123337666,0.9306195657338338,0.930600593109947,0.03543913713405239,1.2800321578979492
2,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.5}",False,0.5,100,0.7998805046638793,0.7954545702960406,0.31536317915971873,0.3087024490628386,0.9321874851522782,0.9317646406696045,0.21341853035143768,1.0696358680725098
4,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.5}",False,0.5,100,0.8028369439201986,0.7957135995860188,0.31443907231565005,0.3028759282662904,0.9317361144106049,0.9315152019068208,0.1546356483065344,1.0518009662628174
8,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.5}",False,0.5,100,0.806476104096799,0.8036229896018318,0.3093579089307015,0.3103178406523993,0.9305839312015964,0.9312103323078629,0.224375,1.0607328414916992
16,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.5}",False,0.5,100,0.8044893430244091,0.8004549078271552,0.3130884517695709,0.31273024401545085,0.9316173326364803,0.9310440397993404,0.10503597122302158,0.934532880783081
32,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.5}",False,0.5,100,0.7747624975096956,0.7737660398266755,0.25927206552311227,0.2605932036416533,0.9304889057822968,0.9303234389290762,0.011014948859166013,1.4313132762908936
64,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.5}",False,0.5,100,0.7811643681674829,0.7751722887834003,0.3354165722431369,0.32625606798570117,0.933814795457785,0.9327623957207395,0.17706919945725916,1.05488920211792
128,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.5}",False,0.5,100,0.7924678824371183,0.790583584050083,0.3186359833774812,0.3127350902941921,0.9321162160878035,0.9321526565228236,0.11432706222865413,1.0972537994384766
2,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.75}",False,0.75,100,0.804030267263947,0.7945396601911145,0.3166425252970801,0.31472859886408877,0.9320093124910913,0.9327623957207395,0.2317922735908803,0.9513680934906006
4,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.75}",False,0.75,100,0.8044133540980538,0.7979002689532514,0.31786688760467163,0.3150339554297076,0.9321518506200409,0.9320972256866494,0.18604651162790697,0.9967637062072754
8,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.75}",False,0.75,100,0.8086778190846459,0.8045923965467134,0.31754938782975656,0.3192893423091929,0.9310828146529196,0.931958648596214,0.23591658885776534,0.8691792488098145
16,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.75}",False,0.75,100,0.8046872941339228,0.8008927596997782,0.3209288805302647,0.3263865421778012,0.9319499216040291,0.9316814944153432,0.12058508740635035,0.9273669719696045
32,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.75}",False,0.75,100,0.8048467510828051,0.8060956337207864,0.3274796292675698,0.3270186598178452,0.9330070793937378,0.9327346803026524,0.1825530481643651,1.0603468418121338
64,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.75}",False,0.75,100,0.79399460872271,0.7927970681911937,0.31329552575064706,0.31431146451521386,0.931688601700955,0.9315429173249078,0.08178438661710036,1.0671510696411133
128,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.75}",False,0.75,100,0.7917776202312443,0.7844599189701967,0.328465955173854,0.32452148961689076,0.9324725614101772,0.9323466644494333,0.09759704251386321,1.1648409366607666
2,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 1}",False,1.0,100,0.8017892267411021,0.7936302389765437,0.3127880210845856,0.30890757880117536,0.9314272817978809,0.9321249411047365,0.24622960911049552,1.1368257999420166
4,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 1}",False,1.0,100,0.8039895342841552,0.7955310880413498,0.3107369129628553,0.31102389808961356,0.9316292108138927,0.9324020952856074,0.22694136291600633,1.0201737880706787
8,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 1}",False,1.0,100,0.8073534440828729,0.8024876328290675,0.3242555450827922,0.31740692247009467,0.932258754216753,0.9322080873589979,0.1900662251655629,1.1698648929595947
16,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 1}",False,1.0,100,0.809363660386408,0.80417568640653,0.31650925283225956,0.31820312967631503,0.9313797690882311,0.9315152019068208,0.1671722278395686,1.1968600749969482
32,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 1}",False,1.0,100,0.7805053446897762,0.7778235832146312,0.26858724846494936,0.26320733815819164,0.9311303273625695,0.9304620160195116,0.05213449187759728,1.253173589706421
64,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 1}",False,1.0,100,0.7575183060561803,0.752855345712294,0.3021933289666543,0.2941550727824064,0.9321162160878035,0.9317369252515174,0.07440811724915444,1.1834430694580078
128,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 1}",False,1.0,100,0.7747288039359577,0.7716571416201906,0.28422177773299423,0.27315752057313997,0.9311778400722193,0.9309608935450792,0.05608184918529747,1.253917932510376
2,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.1}",False,0.1,100,0.7471447538422696,0.742154462887248,0.26674678393389656,0.2673658065540863,0.9288734736542025,0.9304343006014246,0.25386444708680145,0.9880661964416504
4,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.1}",False,0.1,100,0.7540153985370867,0.7456720337163287,0.2925838077056681,0.28616081430159374,0.9299662659761486,0.9297968459854217,0.2643043857101365,1.3119590282440186
8,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.1}",False,0.1,100,0.7609018808044823,0.7547484485508842,0.2682820926973061,0.26315756663560547,0.9279232194612058,0.927551897120368,0.2097944377267231,1.1365830898284912
16,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.1}",False,0.1,100,0.7734518870997975,0.7739569807386759,0.30053485394780816,0.303444198758116,0.9303463676533472,0.9299631384939442,0.28433871424525625,1.2325530052185059
32,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.1}",False,0.1,100,0.8054946262884939,0.7992226757038355,0.3251122571502474,0.3174213632850506,0.9313797690882311,0.9308223164546438,0.2632821723730815,1.3218421936035156
64,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.1}",False,0.1,100,0.7513408781102621,0.7470718789676392,0.26843610864355366,0.2672036243588968,0.9274124578324702,0.9280230592278484,0.2222222222222222,1.1346149444580078
128,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.1}",False,0.1,100,0.8147427976467523,0.8163282500426696,0.32726349453652237,0.32673643049284945,0.9310115455884449,0.9317923560876916,0.2994591517221748,1.5294458866119385
2,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.25}",False,0.25,100,0.7736183714532665,0.758223379493634,0.2862046249635717,0.29037983237063414,0.9294198698151755,0.9305451622737729,0.19421221864951768,1.1403169631958008
4,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.25}",False,0.25,100,0.7726687269912779,0.7657639861737942,0.2984752640558729,0.2951942851032772,0.9305839312015964,0.9310163243812533,0.25856419422103066,1.2314810752868652
8,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.25}",False,0.25,100,0.7975880804045935,0.7927432307309238,0.3164359669528451,0.3084830195093065,0.9323181451038153,0.9310717552174275,0.23875114784205695,1.2532031536102295
16,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.25}",False,0.25,100,0.8032867621852533,0.8014076639498877,0.3232597450136123,0.32295876833942905,0.9315935762816553,0.9315706327429949,0.2515913913307063,1.232950210571289
32,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.25}",False,0.25,100,0.8163003927971122,0.814150907036755,0.33770809465350177,0.3286356229218536,0.9317836271202546,0.9323743798675203,0.2579075425790754,1.1849257946014404
64,Credit 1_1,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'log', 'epsilon': 0.25}",False,0.25,100,0.832181117196946,0.8325331770750007,0.3504417111547921,0.34072745692981554,0.9323419014586402,0.9314320556525595,0.27745327102803735,1.1941137313842773
