hist_bin,dataset,n,m,args,remove_categorical,epsilon,final_trees,train_auc,test_auc,train_pr,test_pr,train_acc,test_acc,f1_score,training_time,avg_client_rounds_sent,std_client_rounds_sent,min_client_rounds_sent,max_client_rounds_set,total_client_rounds_sent,avg_client_rounds_received,std_client_rounds_received,min_client_rounds_received,max_client_rounds_received,total_client_rounds_received,avg_client_rounds_sent_payload,std_client_rounds_sent_payload,min_client_rounds_sent_payload,max_client_rounds_sent_payload,total_client_rounds_sent_payload,avg_client_rounds_received_payload,std_client_rounds_received_payload,min_client_rounds_received_payload,max_client_rounds_received_payload,total_client_rounds_received_payload
2,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.5433244916003537,0.5436,0.5223420923304287,0.523412500579323,0.5622317596566524,0.54,0.54,0.5256209373474121,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,279.6039603960396,119.7879379709208,0,976,28240,19.00990099009901,105.09312184156508,0,960,1920
4,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.562481579722959,0.6607999999999999,0.5612984534450238,0.6536452108893017,0.5579399141630901,0.58,0.5116279069767442,0.5241761207580566,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,309.3069306930693,247.26246697735564,0,1480,31240,59.40594059405941,275.21304720315857,0,1920,6000
8,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.6603300913645741,0.5539999999999999,0.6617511326409029,0.5703458829944263,0.6266094420600858,0.55,0.5454545454545455,0.5284349918365479,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,371.009900990099,517.709320464708,0,2848,37472,118.81188118811882,546.2659692546921,0,3840,12000
16,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.6146478043029767,0.5396,0.5928069393457656,0.5562174071960433,0.575107296137339,0.57,0.6126126126126127,0.5440330505371094,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,489.74257425742576,1039.6755649079382,0,5344,49464,247.12871287128712,1124.4099324998351,0,7680,24960
32,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.6094164456233422,0.6364,0.5978066518852353,0.6173587310476488,0.5965665236051502,0.61,0.6060606060606062,0.16863107681274414,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,722.3762376237623,2065.4794128676053,0,10824,72960,527.5247524752475,2420.825244260456,0,15360,53280
64,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.5508399646330682,0.5007999999999999,0.5693826199873194,0.5035933213427204,0.5278969957081545,0.5,0.5535714285714285,0.21517586708068848,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,1182.4158415841584,4090.141698548412,0,20720,119424,1150.09900990099,5120.357060385594,0,30720,116160
128,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.4615384615384615,0.48,0.47002550700850276,0.4675609392899528,0.4678111587982833,0.52,0.6,0.31111788749694824,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,2108.990099009901,8167.408622920943,0,40696,213008,1896.2376237623762,8699.563987194835,0,61440,191520
256,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.6056587091069849,0.5983999999999999,0.5758140219767269,0.5653988883764955,0.5879828326180258,0.58,0.625,0.48186516761779785,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,3948.5148514851485,16256.77504256096,0,79248,398800,4341.3861386138615,19424.345703251158,0,122880,438480
512,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'sketch_type': 'adaptive_hessian', 'sketch_rounds': 5, 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.612363689949897,0.7488,0.6161225371622927,0.7655906870227973,0.5579399141630901,0.68,0.627906976744186,0.7265751361846924,1.0396039603960396,0.24049421389091333,0,2,105,0.0594059405940594,0.2750979007811843,0,2,6,7961.742574257426,33986.713967519274,0,168552,804136,8601.980198019803,38877.92781677466,0,245760,868800
2,synthetic_100_30_26_2_2_None_1,233,30,"{'dp_method': 'gaussian_cdp', 'accounting_method': 'rdp_scaled_improved', 'split_method': 'totally_random', 'weight_update_method': 'xgboost', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'gradient_budgets': 'vector_mechanism', 'epsilon': 1}",False,1,100,0.6060271146478043,0.546,0.6052612957519926,0.5343851195604414,0.5708154506437768,0.56,0.5686274509803922,0.12364792823791504,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,4.752475247524752,47.52475247524754,0,480,480
